shipment_id,event_type,event_timestamp,location_city,location_state,reason
e28d13f3-dd94-4a15-a7fc-72d5f42f5d43,CREATED,2025-01-03 00:00:00,Debramouth,NC,
e28d13f3-dd94-4a15-a7fc-72d5f42f5d43,OUT_FOR_DELIVERY,2025-01-03 15:00:00,East Kenneth,AL,
e28d13f3-dd94-4a15-a7fc-72d5f42f5d43,DELIVERED,2025-01-03 12:00:00,East Kenneth,AL,
58ad7d41-6fc3-4156-b16d-ebf97c1f4e05,CREATED,2025-01-17 00:00:00,Port Robert,MN,
58ad7d41-6fc3-4156-b16d-ebf97c1f4e05,OUT_FOR_DELIVERY,2025-01-18 12:00:00,North Adrian,UT,
58ad7d41-6fc3-4156-b16d-ebf97c1f4e05,DELAYED,2025-01-18 14:00:00,North Adrian,UT,Traffic
58ad7d41-6fc3-4156-b16d-ebf97c1f4e05,DELIVERED,2025-01-19 10:00:00,North Adrian,UT,
94468e9a-a655-4f6c-8a99-d81247d77afd,CREATED,2025-01-18 00:00:00,Port Monicafurt,SC,
94468e9a-a655-4f6c-8a99-d81247d77afd,OUT_FOR_DELIVERY,2025-01-19 13:00:00,West Karachester,CO,
94468e9a-a655-4f6c-8a99-d81247d77afd,DELIVERED,2025-01-19 15:00:00,West Karachester,CO,
f5c3ee1c-5264-4b7a-86f2-17e52dad7979,CREATED,2025-01-13 00:00:00,South Sherrimouth,GA,
f5c3ee1c-5264-4b7a-86f2-17e52dad7979,OUT_FOR_DELIVERY,2025-01-13 22:00:00,South Johnny,HI,
f5c3ee1c-5264-4b7a-86f2-17e52dad7979,DELAYED,2025-01-14 00:00:00,South Johnny,HI,Mechanical problem
f5c3ee1c-5264-4b7a-86f2-17e52dad7979,DELIVERED,2025-01-15 17:00:00,South Johnny,HI,
70452e1f-3f99-4206-9abe-f0eb6546aef0,CREATED,2025-01-25 00:00:00,New Sandra,ME,
70452e1f-3f99-4206-9abe-f0eb6546aef0,OUT_FOR_DELIVERY,2025-01-26 17:00:00,North Joseph,CA,
70452e1f-3f99-4206-9abe-f0eb6546aef0,DELAYED,2025-01-26 19:00:00,North Joseph,CA,Address issue
70452e1f-3f99-4206-9abe-f0eb6546aef0,DELIVERED,2025-01-28 17:00:00,North Joseph,CA,
9f4d812d-9599-4b33-91af-75d202cdae5b,CREATED,2025-01-31 00:00:00,Port Amanda,CO,
9f4d812d-9599-4b33-91af-75d202cdae5b,OUT_FOR_DELIVERY,2025-02-01 08:00:00,New Christophertown,KS,
9f4d812d-9599-4b33-91af-75d202cdae5b,DELAYED,2025-02-01 10:00:00,New Christophertown,KS,Weather
9f4d812d-9599-4b33-91af-75d202cdae5b,DELIVERED,2025-02-01 09:00:00,New Christophertown,KS,
c2baf510-75f8-4a3d-9993-962b67913985,CREATED,2025-01-30 00:00:00,Taylortown,LA,
c2baf510-75f8-4a3d-9993-962b67913985,OUT_FOR_DELIVERY,2025-01-30 13:00:00,Dianamouth,KY,
c2baf510-75f8-4a3d-9993-962b67913985,DELIVERED,2025-01-30 16:00:00,Dianamouth,KY,
25a53794-20cb-4c4b-9708-e80567e9e6f3,CREATED,2025-01-27 00:00:00,North Susanchester,MS,
25a53794-20cb-4c4b-9708-e80567e9e6f3,OUT_FOR_DELIVERY,2025-01-27 14:00:00,Port Jasmine,TX,
25a53794-20cb-4c4b-9708-e80567e9e6f3,DELIVERED,2025-01-27 16:00:00,Port Jasmine,TX,
59d0e501-bba3-4f1b-b30c-4ce50f7f4ffb,CREATED,2025-01-25 00:00:00,South Susanhaven,CO,
59d0e501-bba3-4f1b-b30c-4ce50f7f4ffb,OUT_FOR_DELIVERY,2025-01-26 17:00:00,South Sarah,PR,
59d0e501-bba3-4f1b-b30c-4ce50f7f4ffb,DELIVERED,2025-01-26 21:00:00,South Sarah,PR,
285e58b6-ad71-41c6-badd-7c4b41aa412c,CREATED,2025-01-28 00:00:00,South Robert,IL,
285e58b6-ad71-41c6-badd-7c4b41aa412c,OUT_FOR_DELIVERY,2025-01-29 02:00:00,Lake Robertberg,FL,
285e58b6-ad71-41c6-badd-7c4b41aa412c,DELIVERED,2025-01-29 00:00:00,Lake Robertberg,FL,
6e5a968f-7715-42ef-9988-f5cbf5954960,CREATED,2025-01-21 00:00:00,Maynardbury,MO,
6e5a968f-7715-42ef-9988-f5cbf5954960,OUT_FOR_DELIVERY,2025-01-22 21:00:00,Smithtown,PR,
6e5a968f-7715-42ef-9988-f5cbf5954960,DELIVERED,2025-01-22 23:00:00,Smithtown,PR,
aeac5dcc-5325-489f-b3e0-1aceaa46f3d3,CREATED,2025-01-22 00:00:00,New Isabelland,DE,
aeac5dcc-5325-489f-b3e0-1aceaa46f3d3,OUT_FOR_DELIVERY,2025-01-22 17:00:00,Jerrystad,UT,
aeac5dcc-5325-489f-b3e0-1aceaa46f3d3,DELIVERED,2025-01-22 14:00:00,Jerrystad,UT,
f79e5946-27ef-4c96-983d-aba334dc76f2,CREATED,2025-01-04 00:00:00,Lake Nicolehaven,OH,
f79e5946-27ef-4c96-983d-aba334dc76f2,OUT_FOR_DELIVERY,2025-01-05 19:00:00,Bennettchester,DC,
f79e5946-27ef-4c96-983d-aba334dc76f2,DELIVERED,2025-01-05 15:00:00,Bennettchester,DC,
4fdfc98a-467b-407c-a210-7ffd132bbb79,CREATED,2025-01-13 00:00:00,Jasonfurt,MS,
4fdfc98a-467b-407c-a210-7ffd132bbb79,OUT_FOR_DELIVERY,2025-01-14 23:00:00,Suzanneside,WI,
4fdfc98a-467b-407c-a210-7ffd132bbb79,DELIVERED,2025-01-15 02:00:00,Suzanneside,WI,
b8b6d97b-f981-4993-ab40-c0fbb94d5179,CREATED,2025-01-31 00:00:00,Stevenshire,MD,
b8b6d97b-f981-4993-ab40-c0fbb94d5179,OUT_FOR_DELIVERY,2025-01-31 20:00:00,Mooreton,TN,
b8b6d97b-f981-4993-ab40-c0fbb94d5179,DELIVERED,2025-01-31 21:00:00,Mooreton,TN,
fa21460d-5165-40f8-aa60-21544880e952,CREATED,2025-01-05 00:00:00,New Ebonyport,GA,
fa21460d-5165-40f8-aa60-21544880e952,OUT_FOR_DELIVERY,2025-01-06 21:00:00,North Christinastad,WA,
fa21460d-5165-40f8-aa60-21544880e952,DELAYED,2025-01-06 23:00:00,North Christinastad,WA,Weather
fa21460d-5165-40f8-aa60-21544880e952,DELIVERED,2025-01-08 17:00:00,North Christinastad,WA,
db238dc3-5445-411f-8dd1-df7bafeb8785,CREATED,2025-01-27 00:00:00,South Brent,MA,
db238dc3-5445-411f-8dd1-df7bafeb8785,OUT_FOR_DELIVERY,2025-01-27 13:00:00,Potterburgh,IN,
db238dc3-5445-411f-8dd1-df7bafeb8785,DELIVERED,2025-01-27 12:00:00,Potterburgh,IN,
bf3d3957-6487-4ed9-a74f-0b3ae8874941,CREATED,2025-01-25 00:00:00,Davischester,NJ,
bf3d3957-6487-4ed9-a74f-0b3ae8874941,OUT_FOR_DELIVERY,2025-01-25 08:00:00,West Todd,VI,
bf3d3957-6487-4ed9-a74f-0b3ae8874941,DELIVERED,2025-01-25 11:00:00,West Todd,VI,
36855a99-4a8d-42a5-9acf-79d5be0d6831,CREATED,2025-01-20 00:00:00,Aliciaborough,DC,
36855a99-4a8d-42a5-9acf-79d5be0d6831,OUT_FOR_DELIVERY,2025-01-21 14:00:00,West Ryan,KY,
36855a99-4a8d-42a5-9acf-79d5be0d6831,DELAYED,2025-01-21 16:00:00,West Ryan,KY,Weather
36855a99-4a8d-42a5-9acf-79d5be0d6831,DELIVERED,2025-01-22 14:00:00,West Ryan,KY,
cc340c69-6a25-4ba7-b435-b699ab78d587,CREATED,2025-01-19 00:00:00,Roseton,SC,
cc340c69-6a25-4ba7-b435-b699ab78d587,OUT_FOR_DELIVERY,2025-01-20 04:00:00,West Kylefurt,PR,
cc340c69-6a25-4ba7-b435-b699ab78d587,DELIVERED,2025-01-20 03:00:00,West Kylefurt,PR,
95359619-7a9d-4e1b-b5f1-031e30e0c721,CREATED,2025-01-18 00:00:00,New Cassandra,TX,
95359619-7a9d-4e1b-b5f1-031e30e0c721,OUT_FOR_DELIVERY,2025-01-19 11:00:00,New Raven,MA,
95359619-7a9d-4e1b-b5f1-031e30e0c721,DELIVERED,2025-01-19 08:00:00,New Raven,MA,
82e4e6e9-b260-4b12-b572-6901aa6d3cf3,CREATED,2025-01-09 00:00:00,Lake Saramouth,MN,
82e4e6e9-b260-4b12-b572-6901aa6d3cf3,OUT_FOR_DELIVERY,2025-01-09 11:00:00,Annebury,IA,
82e4e6e9-b260-4b12-b572-6901aa6d3cf3,DELAYED,2025-01-09 13:00:00,Annebury,IA,Address issue
82e4e6e9-b260-4b12-b572-6901aa6d3cf3,DELIVERED,2025-01-11 04:00:00,Annebury,IA,
2b0973dd-84ba-4e00-8da3-950185596404,CREATED,2025-01-04 00:00:00,Lake Frank,IN,
2b0973dd-84ba-4e00-8da3-950185596404,OUT_FOR_DELIVERY,2025-01-04 20:00:00,Mitchellbury,DE,
2b0973dd-84ba-4e00-8da3-950185596404,DELIVERED,2025-01-04 20:00:00,Mitchellbury,DE,
ae9a4d3c-77e5-4db9-baa0-920f7c90e9dc,CREATED,2025-01-02 00:00:00,Kennethport,DC,
ae9a4d3c-77e5-4db9-baa0-920f7c90e9dc,OUT_FOR_DELIVERY,2025-01-03 04:00:00,Port Lauraview,RI,
ae9a4d3c-77e5-4db9-baa0-920f7c90e9dc,DELIVERED,2025-01-03 02:00:00,Port Lauraview,RI,
e5ba43d6-4679-407d-8ab8-dde323fb464d,CREATED,2025-01-23 00:00:00,Port Maria,MN,
e5ba43d6-4679-407d-8ab8-dde323fb464d,OUT_FOR_DELIVERY,2025-01-23 09:00:00,Troyshire,UT,
e5ba43d6-4679-407d-8ab8-dde323fb464d,DELIVERED,2025-01-23 10:00:00,Troyshire,UT,
471399f8-6ead-4d7e-93ec-7a320a0d382c,CREATED,2025-01-28 00:00:00,Lake Johnfort,CA,
471399f8-6ead-4d7e-93ec-7a320a0d382c,OUT_FOR_DELIVERY,2025-01-28 18:00:00,East Luis,RI,
471399f8-6ead-4d7e-93ec-7a320a0d382c,DELIVERED,2025-01-28 18:00:00,East Luis,RI,
d04fb787-319c-4267-aba6-eb06eac03e1f,CREATED,2025-01-20 00:00:00,South Carlville,CT,
d04fb787-319c-4267-aba6-eb06eac03e1f,OUT_FOR_DELIVERY,2025-01-21 17:00:00,Garcialand,CO,
d04fb787-319c-4267-aba6-eb06eac03e1f,DELIVERED,2025-01-21 19:00:00,Garcialand,CO,
cffd323a-8a99-4cb0-a25d-dce684837407,CREATED,2025-01-15 00:00:00,Simmonsfort,NV,
cffd323a-8a99-4cb0-a25d-dce684837407,OUT_FOR_DELIVERY,2025-01-15 07:00:00,Deanmouth,TN,
cffd323a-8a99-4cb0-a25d-dce684837407,DELIVERED,2025-01-15 07:00:00,Deanmouth,TN,
d9761af7-2ea6-495c-881c-e1326290a413,CREATED,2025-01-27 00:00:00,South Deniseshire,MI,
d9761af7-2ea6-495c-881c-e1326290a413,OUT_FOR_DELIVERY,2025-01-28 08:00:00,North Hollyborough,TX,
d9761af7-2ea6-495c-881c-e1326290a413,DELAYED,2025-01-28 10:00:00,North Hollyborough,TX,Mechanical problem
d9761af7-2ea6-495c-881c-e1326290a413,DELIVERED,2025-01-29 21:00:00,North Hollyborough,TX,
186516ed-3f6b-4350-91ef-b2412af6eebf,CREATED,2025-01-18 00:00:00,Gillton,TX,
186516ed-3f6b-4350-91ef-b2412af6eebf,OUT_FOR_DELIVERY,2025-01-19 08:00:00,West Adammouth,IN,
186516ed-3f6b-4350-91ef-b2412af6eebf,DELIVERED,2025-01-19 09:00:00,West Adammouth,IN,
9b17b588-7dcc-4c78-9e8e-cb06565c346f,CREATED,2025-01-11 00:00:00,Port William,FM,
